2019-06-02 21:58:57 INFO  PersistenceXmlParser:226 - HHH000318: Could not find any META-INF/persistence.xml file in the classpath
2019-06-02 22:00:02 INFO  LogHelper:31 - HHH000204: Processing PersistenceUnitInfo [name: ua.selftaught.hibernate.jpa]
2019-06-02 22:00:02 INFO  Version:46 - HHH000412: Hibernate Core {5.4.3.Final}
2019-06-02 22:00:02 WARN  CachingRegionFactory:48 - org.hibernate.testing.cache.CachingRegionFactory should be only used for testing.
2019-06-02 22:00:02 INFO  Version:49 - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
2019-06-02 22:00:03 WARN  pooling:72 - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
2019-06-02 22:02:08 INFO  LogHelper:31 - HHH000204: Processing PersistenceUnitInfo [name: ua.selftaught.hibernate.jpa]
2019-06-02 22:02:08 INFO  Version:46 - HHH000412: Hibernate Core {5.4.3.Final}
2019-06-02 22:02:09 WARN  CachingRegionFactory:48 - org.hibernate.testing.cache.CachingRegionFactory should be only used for testing.
2019-06-02 22:02:09 INFO  Version:49 - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
2019-06-02 22:02:09 WARN  pooling:72 - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
2019-06-02 22:02:09 INFO  pooling:115 - HHH10001005: using driver [org.postgresql.Driver] at URL [jdbc:postgresql://127.0.0.1:5432/hibernate]
2019-06-02 22:02:09 INFO  pooling:124 - HHH10001001: Connection properties: {user=postgres, password=****}
2019-06-02 22:02:09 INFO  pooling:129 - HHH10001003: Autocommit mode: false
2019-06-02 22:02:09 INFO  DriverManagerConnectionProviderImpl:239 - HHH000115: Hibernate connection pool size: 20 (min=1)
2019-06-02 22:02:09 INFO  Dialect:158 - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQL95Dialect
2019-06-02 22:02:11 INFO  access:47 - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@6a9287b1] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2019-06-02 22:02:11 INFO  JtaPlatformInitiator:52 - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.JBossStandAloneJtaPlatform]
2019-06-02 22:02:11 INFO  Main:19 - hello world
2019-06-02 22:04:17 INFO  LogHelper:31 - HHH000204: Processing PersistenceUnitInfo [name: ua.selftaught.hibernate.jpa]
2019-06-02 22:04:18 INFO  Version:46 - HHH000412: Hibernate Core {5.4.3.Final}
2019-06-02 22:04:18 WARN  CachingRegionFactory:48 - org.hibernate.testing.cache.CachingRegionFactory should be only used for testing.
2019-06-02 22:04:18 INFO  Version:49 - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
2019-06-02 22:04:18 WARN  pooling:72 - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
2019-06-02 22:04:18 INFO  pooling:115 - HHH10001005: using driver [org.postgresql.Driver] at URL [jdbc:postgresql://127.0.0.1:5432/hibernate]
2019-06-02 22:04:18 INFO  pooling:124 - HHH10001001: Connection properties: {user=postgres, password=****}
2019-06-02 22:04:18 INFO  pooling:129 - HHH10001003: Autocommit mode: false
2019-06-02 22:04:18 INFO  DriverManagerConnectionProviderImpl:239 - HHH000115: Hibernate connection pool size: 20 (min=1)
2019-06-02 22:04:18 INFO  Dialect:158 - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQL95Dialect
2019-06-02 22:04:20 INFO  access:47 - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@607b2792] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2019-06-02 22:04:20 INFO  JtaPlatformInitiator:52 - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.JBossStandAloneJtaPlatform]
2019-06-02 22:06:11 INFO  LogHelper:31 - HHH000204: Processing PersistenceUnitInfo [name: ua.selftaught.hibernate.jpa]
2019-06-02 22:06:11 INFO  Version:46 - HHH000412: Hibernate Core {5.4.3.Final}
2019-06-02 22:06:11 WARN  CachingRegionFactory:48 - org.hibernate.testing.cache.CachingRegionFactory should be only used for testing.
2019-06-02 22:06:11 INFO  Version:49 - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
2019-06-02 22:06:11 WARN  pooling:72 - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
2019-06-02 22:06:11 INFO  pooling:115 - HHH10001005: using driver [org.postgresql.Driver] at URL [jdbc:postgresql://127.0.0.1:5432/hibernate]
2019-06-02 22:06:11 INFO  pooling:124 - HHH10001001: Connection properties: {user=postgres, password=****}
2019-06-02 22:06:11 INFO  pooling:129 - HHH10001003: Autocommit mode: false
2019-06-02 22:06:11 INFO  DriverManagerConnectionProviderImpl:239 - HHH000115: Hibernate connection pool size: 20 (min=1)
2019-06-02 22:06:11 INFO  Dialect:158 - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQL95Dialect
2019-06-02 22:06:12 INFO  access:47 - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@607b2792] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2019-06-02 22:06:12 INFO  JtaPlatformInitiator:52 - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.JBossStandAloneJtaPlatform]
2019-06-02 22:09:14 INFO  LogHelper:31 - HHH000204: Processing PersistenceUnitInfo [name: ua.selftaught.hibernate.jpa]
2019-06-02 22:09:14 INFO  Version:46 - HHH000412: Hibernate Core {5.4.3.Final}
2019-06-02 22:09:14 WARN  CachingRegionFactory:48 - org.hibernate.testing.cache.CachingRegionFactory should be only used for testing.
2019-06-02 22:09:14 INFO  Version:49 - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
2019-06-02 22:09:15 WARN  pooling:72 - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
2019-06-02 22:09:15 INFO  pooling:115 - HHH10001005: using driver [org.postgresql.Driver] at URL [jdbc:postgresql://127.0.0.1:5432/hibernate]
2019-06-02 22:09:15 INFO  pooling:124 - HHH10001001: Connection properties: {user=postgres, password=****}
2019-06-02 22:09:15 INFO  pooling:129 - HHH10001003: Autocommit mode: false
2019-06-02 22:09:15 INFO  DriverManagerConnectionProviderImpl:239 - HHH000115: Hibernate connection pool size: 20 (min=1)
2019-06-02 22:09:15 INFO  Dialect:158 - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQL95Dialect
2019-06-02 22:09:17 INFO  access:47 - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@607b2792] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2019-06-02 22:09:17 INFO  JtaPlatformInitiator:52 - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.JBossStandAloneJtaPlatform]
2019-06-02 22:09:34 INFO  LogHelper:31 - HHH000204: Processing PersistenceUnitInfo [name: ua.selftaught.hibernate.jpa]
2019-06-02 22:09:34 INFO  Version:46 - HHH000412: Hibernate Core {5.4.3.Final}
2019-06-02 22:09:35 WARN  CachingRegionFactory:48 - org.hibernate.testing.cache.CachingRegionFactory should be only used for testing.
2019-06-02 22:09:35 INFO  Version:49 - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
2019-06-02 22:09:35 WARN  pooling:72 - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
2019-06-02 22:09:35 INFO  pooling:115 - HHH10001005: using driver [org.postgresql.Driver] at URL [jdbc:postgresql://127.0.0.1:5432/hibernate]
2019-06-02 22:09:35 INFO  pooling:124 - HHH10001001: Connection properties: {user=postgres, password=****}
2019-06-02 22:09:35 INFO  pooling:129 - HHH10001003: Autocommit mode: false
2019-06-02 22:09:35 INFO  DriverManagerConnectionProviderImpl:239 - HHH000115: Hibernate connection pool size: 20 (min=1)
2019-06-02 22:09:35 INFO  Dialect:158 - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQL95Dialect
2019-06-02 22:09:36 INFO  access:47 - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@607b2792] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2019-06-02 22:09:36 INFO  JtaPlatformInitiator:52 - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.JBossStandAloneJtaPlatform]
2019-06-02 22:09:37 INFO  Main:25 - Employee Employee(id=1, name=Dimkas)
2019-06-02 22:10:30 INFO  LogHelper:31 - HHH000204: Processing PersistenceUnitInfo [name: ua.selftaught.hibernate.jpa]
2019-06-02 22:10:31 INFO  Version:46 - HHH000412: Hibernate Core {5.4.3.Final}
2019-06-02 22:10:31 WARN  CachingRegionFactory:48 - org.hibernate.testing.cache.CachingRegionFactory should be only used for testing.
2019-06-02 22:10:31 INFO  Version:49 - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
2019-06-02 22:10:31 WARN  pooling:72 - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
2019-06-02 22:10:31 INFO  pooling:115 - HHH10001005: using driver [org.postgresql.Driver] at URL [jdbc:postgresql://127.0.0.1:5432/hibernate]
2019-06-02 22:10:31 INFO  pooling:124 - HHH10001001: Connection properties: {user=postgres, password=****}
2019-06-02 22:10:31 INFO  pooling:129 - HHH10001003: Autocommit mode: false
2019-06-02 22:10:31 INFO  DriverManagerConnectionProviderImpl:239 - HHH000115: Hibernate connection pool size: 20 (min=1)
2019-06-02 22:10:32 INFO  Dialect:158 - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQL95Dialect
2019-06-02 22:10:33 INFO  access:47 - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@607b2792] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2019-06-02 22:10:33 INFO  JtaPlatformInitiator:52 - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.JBossStandAloneJtaPlatform]
2019-06-02 22:10:33 INFO  Main:25 - Employee Employee(id=1, name=Dimkas)
2019-06-02 22:19:06 INFO  LogHelper:31 - HHH000204: Processing PersistenceUnitInfo [name: ua.selftaught.hibernate.jpa]
2019-06-02 22:19:06 INFO  Version:46 - HHH000412: Hibernate Core {5.4.3.Final}
2019-06-02 22:19:06 WARN  CachingRegionFactory:48 - org.hibernate.testing.cache.CachingRegionFactory should be only used for testing.
